Requirement_ID,Evidence_File,Evidence_Line,Evidence_Type,Evidence_Name,Evidence_Content,Match_Score
US_22b0927b,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.200
US_22b0927b,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.200
US_22b0927b,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.200
US_22b0927b,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.200
US_22b0927b,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.200
US_22b0927b,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.200
US_22b0927b,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.200
US_22b0927b,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.200
US_22b0927b,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.200
US_22b0927b,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.200
US_7e733752,Deadline-MPE\script.js,168,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.182
US_7e733752,Deadline-MPE\script.js,168,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.182
US_7e733752,Deadline-MPE\script2.js,185,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.182
US_7e733752,Deadline-MPE\script2.js,185,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.182
US_7e733752,script.js,274,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.182
US_7e733752,script.js,274,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.182
US_7e733752,shared_workspace\03_main_script.js,274,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.182
US_7e733752,shared_workspace\03_main_script.js,274,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.182
US_7e733752,shared_workspace\06_MPE_script.js,168,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.182
US_7e733752,shared_workspace\06_MPE_script.js,168,function,createTaskItemData,"function createTaskItemData(name, category, isHighPriority, dueDateStr, dueTimeStr) {",0.182
US_568332cb,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.100
US_568332cb,Deadline-MPE\script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.100
US_568332cb,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.100
US_568332cb,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.100
US_568332cb,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.100
US_568332cb,Deadline-MPE\script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.100
US_568332cb,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.100
US_568332cb,shared_workspace\06_MPE_script.js,231,function,completeItem,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.100
US_568332cb,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.100
US_568332cb,shared_workspace\06_MPE_script.js,231,function,if,function completeItem(itemId) { if (gameIsOver) return; const itemIndex = activeItems.findIndex(i =>...,0.100
US_3741409c,Deadline-MPE\script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.385
US_3741409c,Deadline-MPE\script.js,236,function,renderDefinedRoutines,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.385
US_3741409c,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.385
US_3741409c,Deadline-MPE\script.js,236,function,if,function renderDefinedRoutines() { if (!definedRoutinesListUL) return; definedRoutinesListUL.innerHT...,0.385
