Requirement_ID,Requirement_Text,Category,Priority,Status,Confidence_Score,Coverage_Percentage,Evidence_Count,Evidence_Types,Implementation_Files,Key_Functions,Key_Selectors,Key_Constants,Notes,User_Story
US_37d48261,"As a user, I see my tasks and habits represented as category-specific zombie enemies advancing toward my country church base so that different areas of life are visually distinct",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: task, item, todo","As a user, I see my tasks and habits represented as category-specific zombie enemies advancing toward my country church base so that different areas of life are visually distinct"
US_2d72be7f,"As a user, I watch enemies accelerate as deadlines approach so that urgency feels tangible and increasing",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: task, item, todo","As a user, I watch enemies accelerate as deadlines approach so that urgency feels tangible and increasing"
US_22b0927b,"As a user, I ""defeat"" enemies by clicking Attack button then clicking the enemy so that task completion provides immediate satisfaction",User Story,Medium,Partially,0.41,25.8%,10,function,"script.js, 06_MPE_script.js","completeItem, completeItem, if",,,Partial implementation detected; Found evidence in function: completeItem,"As a user, I ""defeat"" enemies by clicking Attack button then clicking the enemy so that task completion provides immediate satisfaction"
US_cf707393,"As a user, I assign tasks to categories which determine zombie appearance so that different life areas are visually recognizable",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: task, item, todo","As a user, I assign tasks to categories which determine zombie appearance so that different life areas are visually recognizable"
US_7e733752,"As a user, I mark tasks as High Priority so they receive bright glowing outlines for emphasis",User Story,Medium,Partially,0.42,31.3%,10,function,"script.js, script2.js, 03_main_script.js","createTaskItemData, createTaskItemData, createTaskItemData",,,Partial implementation detected; Found evidence in function: createTaskItemData,"As a user, I mark tasks as High Priority so they receive bright glowing outlines for emphasis"
US_b3d3bc37,"As a user, I create sub-tasks that make parent tasks appear larger so complex projects are properly represented",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: task, item, todo","As a user, I create sub-tasks that make parent tasks appear larger so complex projects are properly represented"
US_1b642b5f,"As a user, I distinguish between Positive habits (complete to earn points) and Negative habits (avoid to earn points) so that I can track both building and breaking behaviors",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: habit, routine, daily","As a user, I distinguish between Positive habits (complete to earn points) and Negative habits (avoid to earn points) so that I can track both building and breaking behaviors"
US_568332cb,"As a user, I see habit instances as smaller enemies compared to tasks so they're visually distinct",User Story,Medium,Partially,0.42,31.6%,10,function,"script.js, 06_MPE_script.js","completeItem, completeItem, if",,,Partial implementation detected; Found evidence in function: completeItem,"As a user, I see habit instances as smaller enemies compared to tasks so they're visually distinct"
US_dfd5562c,"As a user, I build streaks by consistently completing positive habits so that consistency feels rewarding",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: habit, routine, daily","As a user, I build streaks by consistently completing positive habits so that consistency feels rewarding"
US_21bb1943,"As a user, I create named routines that appear as ""Heroes"" stationed at my base so that routine completion feels like summoning allies",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: habit, routine, daily","As a user, I create named routines that appear as ""Heroes"" stationed at my base so that routine completion feels like summoning allies"
US_3741409c,"As a user, I add existing habits to routines or create new habits directly within routine management so that setup is streamlined",User Story,Medium,Partially,0.42,31.3%,10,function,"script.js, 06_MPE_script.js","renderDefinedRoutines, renderDefinedRoutines, if",,,Partial implementation detected; Found evidence in function: renderDefinedRoutines,"As a user, I add existing habits to routines or create new habits directly within routine management so that setup is streamlined"
US_461947c9,"As a user, I assign habits to only one routine at a time so that accountability and tracking remain clear",User Story,Medium,Partially,0.41,26.7%,10,function,"script.js, 06_MPE_script.js","completeItem, completeItem, if",,,Partial implementation detected; Found evidence in function: completeItem,"As a user, I assign habits to only one routine at a time so that accountability and tracking remain clear"
US_64957f8c,"As a user, I transfer habits directly between routines with confirmation prompts so that routine optimization is streamlined while preventing accidental moves",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: habit, routine, daily","As a user, I transfer habits directly between routines with confirmation prompts so that routine optimization is streamlined while preventing accidental moves"
US_fd2ea428,"As a user, I name and save multiple routine configurations so that I can experiment with different approaches within a single run",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: habit, routine, daily","As a user, I name and save multiple routine configurations so that I can experiment with different approaches within a single run"
US_8fa71b16,"As a user, I swap between different saved routine configurations during a run so that I can adapt and optimize my approach dynamically",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: habit, routine, daily","As a user, I swap between different saved routine configurations during a run so that I can adapt and optimize my approach dynamically"
US_c24a8a26,"As a user, I manage routines through a dedicated library screen with category sorting so that routine organization scales with complexity",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: habit, routine, daily","As a user, I manage routines through a dedicated library screen with category sorting so that routine organization scales with complexity"
US_3a06c4d7,"As a user, I want my base to heal gradually over time so that minor setbacks don't feel permanent",User Story,Medium,Partially,0.42,29.4%,8,function,"script.js, 06_MPE_script.js","damageBase, damageBase, damageBase",,,Partial implementation detected; Found evidence in function: damageBase,"As a user, I want my base to heal gradually over time so that minor setbacks don't feel permanent"
US_e8b9921f,"As a user, I purchase repair kits with my points so that I have active recovery options",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: level, points, upgrade","As a user, I purchase repair kits with my points so that I have active recovery options"
US_4f319a03,"As a user, I want a midnight deadline when my base hits zero so that base destruction has stakes but recovery is possible",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: task, item, todo","As a user, I want a midnight deadline when my base hits zero so that base destruction has stakes but recovery is possible"
US_e513cdf9,"As a user, I earn XP and points/currency for completing tasks and habits so that productivity feels like character development",User Story,Medium,Partially,0.42,30.8%,10,function,"script.js, 06_MPE_script.js","completeItem, completeItem, if",,,Partial implementation detected; Found evidence in function: completeItem,"As a user, I earn XP and points/currency for completing tasks and habits so that productivity feels like character development"
US_42c3caa9,"As a user, I level up and unlock additional routine slots for my base so that advancement brings tangible benefits",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: habit, routine, daily","As a user, I level up and unlock additional routine slots for my base so that advancement brings tangible benefits"
US_56428e19,"As a user, I spend points/currency in the shop so that I have strategic resource management options",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: level, points, upgrade","As a user, I spend points/currency in the shop so that I have strategic resource management options"
US_423cf987,"As a user, I start new runs when my base is destroyed so that failure feels like a fresh start rather than permanent loss",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: enemy, zombie, base","As a user, I start new runs when my base is destroyed so that failure feels like a fresh start rather than permanent loss"
US_868971b6,"As a user, I review what went wrong in failed runs so that I can make improvements",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: user, review, what","As a user, I review what went wrong in failed runs so that I can make improvements"
US_825fdfef,"As a productivity enthusiast, I see my tasks as zombie enemies so that my to-do list feels engaging rather than overwhelming",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: task, item, todo","As a productivity enthusiast, I see my tasks as zombie enemies so that my to-do list feels engaging rather than overwhelming"
US_ba1de9bd,"As a gamer, I want category-specific zombie appearances so that I can instantly recognize different life areas",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: enemy, zombie, base","As a gamer, I want category-specific zombie appearances so that I can instantly recognize different life areas"
US_11981328,"As a visual learner, I want enemies to accelerate and glow as deadlines approach so that urgency feels tangible",User Story,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: task, item, todo","As a visual learner, I want enemies to accelerate and glow as deadlines approach so that urgency feels tangible"
